iso_country_numeric_code,iso_country_code,country,world_region,mpi,headcount_ratio,intensity,vulnerable_to_poverty,in_severe_povertty,inequality_among_the_poor,population_as_per_survey_in_given_year,population_2016,population_2017,number_of_mpi_poor_in_given_year,number_of_mpi_poor_in_2016,number_of_mpi_poor_in_2017
566,NGA,Nigeria,Sub-Saharan Africa,0.29115793108940125,51.431214809417725,56.611126661300659,16.811713576316833,32.291311025619507,2.9000000000000001E-2,190886.3125,185989.640625,190886.3125,98175.1484375,95656.734375,98175.1484375
694,SLE,Sierra Leone,Sub-Saharan Africa,0.29669848084449768,57.930451631546021,51.216322183609009,19.636359810829163,30.420693755149841,0.02,7557.2119140625,7396.18994140625,7557.2119140625,4377.9267578125,4284.64599609375,4377.9267578125
430,LBR,Liberia,Sub-Saharan Africa,0.31968367099761963,62.937968969345093,50.793451070785522,21.36828601360321,32.109934091567993,1.9E-2,4286.291015625,4613.8232421875,4731.90576171875,2697.70458984375,2903.8466796875,2978.165283203125
324,GIN,Guinea,Sub-Saharan Africa,0.33598136901855469,61.862784624099731,54.310745000839233,17.150694131851196,37.731629610061646,2.1999999999999999E-2,12395.923828125,12395.923828125,12717.17578125,7668.4638671875,7668.4638671875,7867.19921875
204,BEN,Benin,Sub-Saharan Africa,0.36767482757568359,66.798889636993408,55.042058229446411,14.68622237443924,40.937143564224243,2.5000000000000001E-2,11485.673828125,10872.2978515625,11175.6923828125,7672.302734375,7262.57421875,7465.23828125
624,GNB,Guinea-Bissau,Sub-Saharan Africa,0.37230676412582397,67.293667793273926,55.325675010681152,19.178792834281921,40.382367372512817,2.5000000000000001E-2,1725.7440185546875,1815.697998046875,1861.282958984375,1161.31640625,1221.8497314453125,1252.5255126953125
180,COD,"Congo, Democratic Republic of the",Sub-Saharan Africa,0.38901683688163757,74.047166109085083,52.536356449127197,16.809186339378357,43.865600228309631,0.02,73722.859375,78736.15625,81339.984375,54589.6875,58301.890625,60229.953125
108,BDI,Burundi,Sub-Saharan Africa,0.40317395329475403,74.254781007766724,54.296022653579712,16.281487047672272,45.307749509811401,2.1999999999999999E-2,10864.2451171875,10524.1171875,10864.2451171875,8067.22119140625,7814.66015625,8067.22119140625
508,MOZ,Mozambique,Sub-Saharan Africa,0.41070541739463806,72.452455759048462,56.686198711395264,13.5698601603508,49.102935194969177,2.3E-2,24939.005859375,28829.4765625,29668.833984375,18068.921875,20887.6640625,21495.798828125
450,MDG,Madagascar,Sub-Saharan Africa,0.45255112648010254,77.763491868972778,58.19583535194397,11.800471693277359,57.141143083572388,2.3E-2,20569.12109375,24894.55078125,25570.89453125,15995.2666015625,19358.87109375,19884.8203125
466,MLI,Mali,Sub-Saharan Africa,0.45676413178443909,78.08646559715271,58.494657278060913,10.864633321762085,56.59719705581665,2.4E-2,17467.904296875,17994.837890625,18541.98046875,13640.0693359375,14051.533203125,14478.77734375
140,CAF,Central African Republic,Sub-Saharan Africa,0.46486374735832214,79.360294342041016,58.576363325119019,13.121899962425232,54.722899198532104,2.8000000000000001E-2,4448.52490234375,4594.62109375,4659.080078125,3530.362548828125,3646.304931640625,3697.459716796875
231,ETH,Ethiopia,Sub-Saharan Africa,0.48879027366638184,83.503842353820801,58.53506326675415,8.8820956647396088,61.48112416267395,2.4E-2,102403.1953125,102403.1953125,104957.4375,85510.6015625,85510.6015625,87643.4921875
854,BFA,Burkina Faso,Sub-Saharan Africa,0.51905924081802368,83.834439516067505,61.914795637130737,7.4463993310928345,64.781844615936279,2.7E-2,15605.216796875,18646.43359375,19193.3828125,13082.5458984375,15632.1328125,16090.6650390625
148,TCD,Chad,Sub-Saharan Africa,0.53344196081161499,85.673177242279053,62.264764308929443,9.8677732050418854,66.104114055633545,2.5999999999999999E-2,14009.4130859375,14452.54296875,14899.994140625,12002.3095703125,12381.953125,12765.298828125
728,SSD,South Sudan,Sub-Saharan Africa,0.58015745878219604,91.862887144088745,63.154715299606323,6.3365347683429718,74.343174695968628,2.3E-2,10067.1923828125,12230.73046875,12575.7138671875,9248.013671875,11235.501953125,11552.4140625
562,NER,Niger,Sub-Saharan Africa,0.5901482105255127,90.470737218856812,65.230840444564819,5.0929337739944458,74.774283170700073,2.5999999999999999E-2,17731.634765625,20672.986328125,21477.34765625,16041.9404296875,18703.00390625,19430.71484375
